job_key,job_title,company,location,source,score,match_percent,fit_category,target_track,recommended_resume,resume_fit_level,resume_fit_score,resume_suggestions,missing_or_watch_skills,interview_focus,job_intelligence_summary,why_this_fits,resume_focus,job_intelligence_interview_focus,potential_concerns,suggested_next_action,location_status,company_bonus,company_watchlist_category,target_strength,recommendation,apply_priority,application_status,application_stage,application_date,resume_used,cover_letter_used,recruiter_name,recruiter_email,interview_date,salary,follow_up_date,last_updated,job_link,notes,match_reasons,email_subject,email_date
"crm specialist, e-commerce (remote)|remotepromsp","CRM Specialist, E-Commerce (Remote)",remotepromsp,United States,Google Job Alert,65,65,Possible Match,Salesforce / CRM,Salesforce Resume,Possible Resume Fit,65,"Lead with Salesforce Administrator certification | Highlight Flow Builder, reports, dashboards, and CRM process improvement | Mention hands-on Salesforce project work and business problem solving",None flagged,Salesforce security model | Flow Builder examples | Reports and dashboards | Business requirements gathering,"CRM Specialist, E-Commerce (Remote) at remotepromsp is a possible match for the Salesforce / CRM track. Aligns with Salesforce Administrator and CRM career goals Good opportunity to discuss Salesforce projects, dashboards, and automation Matches preferred location/work arrangement","Aligns with Salesforce Administrator and CRM career goals | Good opportunity to discuss Salesforce projects, dashboards, and automation | Matches preferred location/work arrangement","Use Salesforce Resume. Focus on: Lead with Salesforce Administrator certification | Highlight Flow Builder, reports, dashboards, and CRM process improvement | Mention hands-on Salesforce project work and business problem solving",Salesforce security model | Flow Builder examples | Reports and dashboards | Business requirements gathering,No major concerns flagged by current rules,Review only if time allows,Preferred,0,,Strong Target,Review,Review if time,Not Applied,Not Applied,,Salesforce Resume,No,,,,,,2026-06-25,,,"crm, Remote","10 new jobs for ""crm administrator remote "" - Jun 25",2026-06-25
salesforce administrator|tricom technical services,SalesForce Administrator,TriCom Technical Services,"Little Canada, MN, United States",Google Job Alert,65,65,Possible Match,Salesforce / CRM,Salesforce Resume,Possible Resume Fit,65,"Lead with Salesforce Administrator certification | Highlight Flow Builder, reports, dashboards, and CRM process improvement | Mention hands-on Salesforce project work and business problem solving",None flagged,Salesforce security model | Flow Builder examples | Reports and dashboards | Business requirements gathering,"SalesForce Administrator at TriCom Technical Services is a possible match for the Salesforce / CRM track. Aligns with Salesforce Administrator and CRM career goals Good opportunity to discuss Salesforce projects, dashboards, and automation","Aligns with Salesforce Administrator and CRM career goals | Good opportunity to discuss Salesforce projects, dashboards, and automation","Use Salesforce Resume. Focus on: Lead with Salesforce Administrator certification | Highlight Flow Builder, reports, dashboards, and CRM process improvement | Mention hands-on Salesforce project work and business problem solving",Salesforce security model | Flow Builder examples | Reports and dashboards | Business requirements gathering,Location appears outside the target area,Review only if time allows,Outside Target Area,0,,Strong Target,Review,Review if time,Not Applied,Not Applied,,,,,,,,,6/25/2026,,,"salesforce administrator, salesforce admin, salesforce, Minnesota location, Outside target location","10 new jobs for ""salesforce admin jobs mn"" - Jun 25",2026-06-25
associate technical analyst|talentally,Associate Technical Analyst,TalentAlly,Greater Minneapolis-St. Paul Area (Hybrid),LinkedIn,65,65,Possible Match,Salesforce / CRM,Salesforce Resume,Possible Resume Fit,65,"Lead with Salesforce Administrator certification | Highlight Flow Builder, reports, dashboards, and CRM process improvement | Mention hands-on Salesforce project work and business problem solving",None flagged,Salesforce security model | Flow Builder examples | Reports and dashboards | Business requirements gathering,"Associate Technical Analyst at TalentAlly is a possible match for the Salesforce / CRM track. Aligns with Salesforce Administrator and CRM career goals Good opportunity to discuss Salesforce projects, dashboards, and automation Matches preferred location/work arrangement","Aligns with Salesforce Administrator and CRM career goals | Good opportunity to discuss Salesforce projects, dashboards, and automation | Matches preferred location/work arrangement","Use Salesforce Resume. Focus on: Lead with Salesforce Administrator certification | Highlight Flow Builder, reports, dashboards, and CRM process improvement | Mention hands-on Salesforce project work and business problem solving",Salesforce security model | Flow Builder examples | Reports and dashboards | Business requirements gathering,No major concerns flagged by current rules,Review only if time allows,Preferred,0,,Strong Target,Review,Review if time,Not Applied,Not Applied,,,,,,,,,6/25/2026,,,"analyst, Hybrid, Minnesota location",Salesforce Administrator at TriCom Technical Services,2026-06-25
business systems analyst - hybrid|genesis10,Business Systems Analyst - Hybrid,Genesis10,"Minneapolis, MN, United States",Google Job Alert,65,65,Possible Match,Business Analyst,Business Analyst Resume,Possible Resume Fit,65,"Use the Business Analyst resume | Highlight requirements gathering, stakeholder communication, and dashboard work | Connect analytics projects to business decisions",None flagged,Requirements gathering | Stakeholder communication | Data storytelling | Process improvement,"Business Systems Analyst - Hybrid at Genesis10 is a possible match for the Business Analyst track. Aligns with business analysis, requirements gathering, and data storytelling goals Good opportunity to connect projects to business decision-making Matches preferred location/work arrangement","Aligns with business analysis, requirements gathering, and data storytelling goals | Good opportunity to connect projects to business decision-making | Matches preferred location/work arrangement","Use Business Analyst Resume. Focus on: Use the Business Analyst resume | Highlight requirements gathering, stakeholder communication, and dashboard work | Connect analytics projects to business decisions",Requirements gathering | Stakeholder communication | Data storytelling | Process improvement,No major concerns flagged by current rules,Review only if time allows,Preferred,0,,Strong Target,Review,Review if time,Not Applied,Not Applied,,,,,,,,,6/25/2026,,,"analyst, Hybrid, Minnesota location","10 new jobs for ""business analyst jobs mn"" - Jun 24",2026-06-24
sr data analyst - crecera brands|salt strong,Sr Data Analyst - Crecera Brands,Salt Strong,"Bloomington, MN, United States",Google Job Alert,65,65,Possible Match,Data / Reporting,Business Analytics Resume,Possible Resume Fit,65,"Use the Business Analytics resume | Highlight Excel, dashboards, reporting, Tableau, and analytics coursework | Show how reports helped decision making",None flagged,Excel analysis | Dashboard design | Data storytelling | SQL/SOQL basics,"Sr Data Analyst - Crecera Brands at Salt Strong is a possible match for the Data / Reporting track. Aligns with reporting, dashboards, Excel, Tableau, and analytics development Good opportunity to discuss data storytelling and decision support Matches preferred location/work arrangement","Aligns with reporting, dashboards, Excel, Tableau, and analytics development | Good opportunity to discuss data storytelling and decision support | Matches preferred location/work arrangement","Use Business Analytics Resume. Focus on: Use the Business Analytics resume | Highlight Excel, dashboards, reporting, Tableau, and analytics coursework | Show how reports helped decision making",Excel analysis | Dashboard design | Data storytelling | SQL/SOQL basics,No major concerns flagged by current rules,Review only if time allows,Preferred,0,,Strong Target,Review,Review if time,Not Applied,Not Applied,,,,,,,,,6/25/2026,,,"analyst, data analyst, Minnesota location","10 new jobs for ""analyst  jobs mn"" - Jun 24",2026-06-24
data analyst|cloud data vision llc,Data Analyst,Cloud Data Vision LLC,"Lauderdale, MN, United States",Google Job Alert,65,65,Possible Match,Data / Reporting,Business Analytics Resume,Possible Resume Fit,65,"Use the Business Analytics resume | Highlight Excel, dashboards, reporting, Tableau, and analytics coursework | Show how reports helped decision making",None flagged,Excel analysis | Dashboard design | Data storytelling | SQL/SOQL basics,"Data Analyst at Cloud Data Vision LLC is a possible match for the Data / Reporting track. Aligns with reporting, dashboards, Excel, Tableau, and analytics development Good opportunity to discuss data storytelling and decision support Matches preferred location/work arrangement","Aligns with reporting, dashboards, Excel, Tableau, and analytics development | Good opportunity to discuss data storytelling and decision support | Matches preferred location/work arrangement","Use Business Analytics Resume. Focus on: Use the Business Analytics resume | Highlight Excel, dashboards, reporting, Tableau, and analytics coursework | Show how reports helped decision making",Excel analysis | Dashboard design | Data storytelling | SQL/SOQL basics,No major concerns flagged by current rules,Review only if time allows,Preferred,0,,Strong Target,Review,Review if time,Not Applied,Not Applied,,,,,,,,,6/25/2026,,,"analyst, data analyst, Minnesota location","10 new jobs for ""analyst  jobs mn"" - Jun 24",2026-06-24
senior salesforce architect & enterprise solution lead|techohana,Senior Salesforce Architect & Enterprise Solution Lead,TECHOHANA,"Blaine, MN, United States",Google Job Alert,60,60,Possible Match,Salesforce / CRM,Salesforce Resume,Possible Resume Fit,60,"Lead with Salesforce Administrator certification | Highlight Flow Builder, reports, dashboards, and CRM process improvement | Mention hands-on Salesforce project work and business problem solving",None flagged,Salesforce security model | Flow Builder examples | Reports and dashboards | Business requirements gathering,"Senior Salesforce Architect & Enterprise Solution Lead at TECHOHANA is a possible match for the Salesforce / CRM track. Aligns with Salesforce Administrator and CRM career goals Good opportunity to discuss Salesforce projects, dashboards, and automation Matches preferred location/work arrangement","Aligns with Salesforce Administrator and CRM career goals | Good opportunity to discuss Salesforce projects, dashboards, and automation | Matches preferred location/work arrangement","Use Salesforce Resume. Focus on: Lead with Salesforce Administrator certification | Highlight Flow Builder, reports, dashboards, and CRM process improvement | Mention hands-on Salesforce project work and business problem solving",Salesforce security model | Flow Builder examples | Reports and dashboards | Business requirements gathering,No major concerns flagged by current rules,Review only if time allows,Preferred,0,,Strong Target,Review,Review if time,Not Applied,Not Applied,,Salesforce Resume,No,,,,,,2026-06-26,,,"salesforce, erp, Minnesota location","6 new jobs for ""salesforce admin jobs mn"" - Jun 26",2026-06-26
systems operations manager|commure,Systems Operations Manager,Commure,United States (Remote),LinkedIn,60,60,Possible Match,Sales Ops / RevOps,Sales Ops / RevOps Resume,Possible Resume Fit,60,"Use the Sales Ops / RevOps resume | Highlight sales operations, CRM, reporting, and process improvement | Connect sales background to operational reporting and pipeline support",None flagged,Pipeline reporting | Sales process improvement | CRM data quality | Stakeholder support,"Systems Operations Manager at Commure is a possible match for the Sales Ops / RevOps track. Aligns with sales operations, CRM reporting, and pipeline support experience Strong bridge between sales background and technical CRM skills Matches preferred location/work arrangement","Aligns with sales operations, CRM reporting, and pipeline support experience | Strong bridge between sales background and technical CRM skills | Matches preferred location/work arrangement","Use Sales Ops / RevOps Resume. Focus on: Use the Sales Ops / RevOps resume | Highlight sales operations, CRM, reporting, and process improvement | Connect sales background to operational reporting and pipeline support",Pipeline reporting | Sales process improvement | CRM data quality | Stakeholder support,No major concerns flagged by current rules,Review only if time allows,Preferred,0,,Good Target,Review,Review if time,Not Applied,Not Applied,,Sales Ops / RevOps Resume,No,,,,,,2026-06-26,,,"operations, Remote",Sales Operations Systems Analyst at Swooped,2026-06-26
business system analyst|culligan international,Business System Analyst,Culligan International,United States (Remote),LinkedIn,60,60,Possible Match,Salesforce / CRM,Salesforce Resume,Possible Resume Fit,60,"Lead with Salesforce Administrator certification | Highlight Flow Builder, reports, dashboards, and CRM process improvement | Mention hands-on Salesforce project work and business problem solving",None flagged,Salesforce security model | Flow Builder examples | Reports and dashboards | Business requirements gathering,"Business System Analyst at Culligan International is a possible match for the Salesforce / CRM track. Aligns with Salesforce Administrator and CRM career goals Good opportunity to discuss Salesforce projects, dashboards, and automation Matches preferred location/work arrangement","Aligns with Salesforce Administrator and CRM career goals | Good opportunity to discuss Salesforce projects, dashboards, and automation | Matches preferred location/work arrangement","Use Salesforce Resume. Focus on: Lead with Salesforce Administrator certification | Highlight Flow Builder, reports, dashboards, and CRM process improvement | Mention hands-on Salesforce project work and business problem solving",Salesforce security model | Flow Builder examples | Reports and dashboards | Business requirements gathering,No major concerns flagged by current rules,Review only if time allows,Preferred,0,,Strong Target,Review,Review if time,Not Applied,Not Applied,,Salesforce Resume,No,,,,,,2026-06-25,,,"analyst, Remote","“Salesforce Administrator
CRM…”: Andela - Revenue Operations Specialist posted on 6/22/26",2026-06-25
supply management planner|deluxe,Supply Management Planner II,Deluxe,"Minneapolis, MN (Hybrid)",LinkedIn,60,60,Possible Match,Operations / Supply Chain,Operations / Supply Chain Resume,Possible Resume Fit,60,"Use the Operations / Supply Chain resume | Highlight inventory, purchasing, work orders, Maximo, and plant operations | Connect storeroom experience to process improvement and data tracking",None flagged,Inventory control | Purchasing and receiving | Process improvement | Operations problem solving,"Supply Management Planner II at Deluxe is a possible match for the Operations / Supply Chain track. Aligns with operations, inventory, purchasing, and process improvement experience Good fit for connecting plant operations experience to analytics and reporting Matches preferred location/work arrangement","Aligns with operations, inventory, purchasing, and process improvement experience | Good fit for connecting plant operations experience to analytics and reporting | Matches preferred location/work arrangement","Use Operations / Supply Chain Resume. Focus on: Use the Operations / Supply Chain resume | Highlight inventory, purchasing, work orders, Maximo, and plant operations | Connect storeroom experience to process improvement and data tracking",Inventory control | Purchasing and receiving | Process improvement | Operations problem solving,No major concerns flagged by current rules,Review only if time allows,Preferred,0,,Good Target,Review,Review if time,Not Applied,Not Applied,,,,,,,,,6/25/2026,,,"planner, Hybrid, Minnesota location",Inventory Specialist I at Fairview Health Services,2026-06-25
supply planner|lactalis usa,Supply Planner,Lactalis USA,"Minneapolis, MN (Hybrid)",LinkedIn,60,60,Possible Match,Data / Reporting,Business Analytics Resume,Possible Resume Fit,60,"Use the Business Analytics resume | Highlight Excel, dashboards, reporting, Tableau, and analytics coursework | Show how reports helped decision making",None flagged,Excel analysis | Dashboard design | Data storytelling | SQL/SOQL basics,"Supply Planner at Lactalis USA is a possible match for the Data / Reporting track. Aligns with reporting, dashboards, Excel, Tableau, and analytics development Good opportunity to discuss data storytelling and decision support Matches preferred location/work arrangement","Aligns with reporting, dashboards, Excel, Tableau, and analytics development | Good opportunity to discuss data storytelling and decision support | Matches preferred location/work arrangement","Use Business Analytics Resume. Focus on: Use the Business Analytics resume | Highlight Excel, dashboards, reporting, Tableau, and analytics coursework | Show how reports helped decision making",Excel analysis | Dashboard design | Data storytelling | SQL/SOQL basics,No major concerns flagged by current rules,Review only if time allows,Preferred,0,,Good Target,Review,Review if time,Not Applied,Not Applied,,,,,,,,,6/25/2026,,,"planner, Hybrid, Minnesota location",Analytics Specialist at Cargill: up to $183K/year,2026-06-25
"sr. analyst, reporting & data management|ovative group","Sr. Analyst, Reporting & Data Management",Ovative Group,"Minneapolis, MN",LinkedIn,60,60,Possible Match,Business Analyst,Business Analyst Resume,Possible Resume Fit,60,"Use the Business Analyst resume | Highlight requirements gathering, stakeholder communication, and dashboard work | Connect analytics projects to business decisions",None flagged,Requirements gathering | Stakeholder communication | Data storytelling | Process improvement,"Sr. Analyst, Reporting & Data Management at Ovative Group is a possible match for the Business Analyst track. Aligns with business analysis, requirements gathering, and data storytelling goals Good opportunity to connect projects to business decision-making Matches preferred location/work arrangement","Aligns with business analysis, requirements gathering, and data storytelling goals | Good opportunity to connect projects to business decision-making | Matches preferred location/work arrangement","Use Business Analyst Resume. Focus on: Use the Business Analyst resume | Highlight requirements gathering, stakeholder communication, and dashboard work | Connect analytics projects to business decisions",Requirements gathering | Stakeholder communication | Data storytelling | Process improvement,No major concerns flagged by current rules,Review only if time allows,Preferred,0,,Strong Target,Review,Review if time,Not Applied,Not Applied,,,,,,,,,6/25/2026,,,"analyst, reporting, Minnesota location",Business Analyst at On-Demand Group: up to $56/hour,2026-06-24
crm admin and marketing coordinator|geffen mesher & company pc,CRM Admin and Marketing Coordinator,Geffen Mesher & Company PC,"Portland, OR, United States",Google Job Alert,60,60,Possible Match,Salesforce / CRM,Salesforce Resume,Possible Resume Fit,60,"Lead with Salesforce Administrator certification | Highlight Flow Builder, reports, dashboards, and CRM process improvement | Mention hands-on Salesforce project work and business problem solving",None flagged,Salesforce security model | Flow Builder examples | Reports and dashboards | Business requirements gathering,"CRM Admin and Marketing Coordinator at Geffen Mesher & Company PC is a possible match for the Salesforce / CRM track. Aligns with Salesforce Administrator and CRM career goals Good opportunity to discuss Salesforce projects, dashboards, and automation Matches preferred location/work arrangement","Aligns with Salesforce Administrator and CRM career goals | Good opportunity to discuss Salesforce projects, dashboards, and automation | Matches preferred location/work arrangement","Use Salesforce Resume. Focus on: Lead with Salesforce Administrator certification | Highlight Flow Builder, reports, dashboards, and CRM process improvement | Mention hands-on Salesforce project work and business problem solving",Salesforce security model | Flow Builder examples | Reports and dashboards | Business requirements gathering,No major concerns flagged by current rules,Review only if time allows,Preferred,0,,Strong Target,Review,Review if time,Not Applied,Not Applied,,,,,,,,,6/25/2026,,,"crm admin, crm","10 new jobs for ""crm administrator remote "" - Jun 24",2026-06-24
supply chain analyst|daikin applied americas,Supply Chain Analyst II,Daikin Applied Americas,"Plymouth, MN",LinkedIn,55,55,Possible Match,Operations / Supply Chain,Operations / Supply Chain Resume,Low Resume Fit,55,"Use the Operations / Supply Chain resume | Highlight inventory, purchasing, work orders, Maximo, and plant operations | Connect storeroom experience to process improvement and data tracking",None flagged,Inventory control | Purchasing and receiving | Process improvement | Operations problem solving,"Supply Chain Analyst II at Daikin Applied Americas is a possible match for the Operations / Supply Chain track. Aligns with operations, inventory, purchasing, and process improvement experience Good fit for connecting plant operations experience to analytics and reporting Matches preferred location/work arrangement","Aligns with operations, inventory, purchasing, and process improvement experience | Good fit for connecting plant operations experience to analytics and reporting | Matches preferred location/work arrangement","Use Operations / Supply Chain Resume. Focus on: Use the Operations / Supply Chain resume | Highlight inventory, purchasing, work orders, Maximo, and plant operations | Connect storeroom experience to process improvement and data tracking",Inventory control | Purchasing and receiving | Process improvement | Operations problem solving,No major concerns flagged by current rules,Review only if time allows,Preferred,0,,Good Target,Review,Review if time,Not Applied,Not Applied,,Operations / Supply Chain Resume,No,,,,,,2026-06-26,,,"analyst, supply chain, Minnesota location",Supply Chain Analyst II at Daikin Applied Americas,2026-06-26
territory sales specialist|esab corporation,Territory Sales Specialist,ESAB Corporation,Greater Minneapolis-St. Paul Area (Remote),LinkedIn,55,55,Possible Match,General / Other,General Resume,Low Resume Fit,55,"Use the General resume | Highlight transferable operations, sales, customer support, and problem solving experience",None flagged,Transferable skills | Customer and stakeholder communication | Problem solving,Territory Sales Specialist at ESAB Corporation is a possible match for the General / Other track. Possible transferable-skills opportunity Matches preferred location/work arrangement,Possible transferable-skills opportunity | Matches preferred location/work arrangement,"Use General Resume. Focus on: Use the General resume | Highlight transferable operations, sales, customer support, and problem solving experience",Transferable skills | Customer and stakeholder communication | Problem solving,No major concerns flagged by current rules,Review only if time allows,Preferred,0,,Standard,Review,Review if time,Not Applied,Not Applied,,General Resume,No,,,,,,2026-06-26,,,"Remote, Minnesota location",Business Development Associate at Nextern,2026-06-26
"revops analyst, post-sales (ai & automation)|checkr, inc.","RevOps Analyst, Post-Sales (AI & Automation)","Checkr, Inc.","Denver, CO",LinkedIn,55,55,Possible Match,Salesforce / CRM,Salesforce Resume,Low Resume Fit,55,"Lead with Salesforce Administrator certification | Highlight Flow Builder, reports, dashboards, and CRM process improvement | Mention hands-on Salesforce project work and business problem solving",None flagged,Salesforce security model | Flow Builder examples | Reports and dashboards | Business requirements gathering,"RevOps Analyst, Post-Sales (AI & Automation) at Checkr, Inc. is a possible match for the Salesforce / CRM track. Aligns with Salesforce Administrator and CRM career goals Good opportunity to discuss Salesforce projects, dashboards, and automation","Aligns with Salesforce Administrator and CRM career goals | Good opportunity to discuss Salesforce projects, dashboards, and automation","Use Salesforce Resume. Focus on: Lead with Salesforce Administrator certification | Highlight Flow Builder, reports, dashboards, and CRM process improvement | Mention hands-on Salesforce project work and business problem solving",Salesforce security model | Flow Builder examples | Reports and dashboards | Business requirements gathering,Location may need manual review,Review only if time allows,Unknown,0,,Strong Target,Review,Review if time,Not Applied,Not Applied,,Salesforce Resume,No,,,,,,2026-06-25,,,"analyst, revops",Revenue Operations Analyst (RevOps) – Salesforce at Informativ,2026-06-26
sales operations specialist|nimble solutions,Sales Operations Specialist,nimble solutions,"Chesterfield, MO",LinkedIn,55,55,Possible Match,Sales Ops / RevOps,Sales Ops / RevOps Resume,Low Resume Fit,55,"Use the Sales Ops / RevOps resume | Highlight sales operations, CRM, reporting, and process improvement | Connect sales background to operational reporting and pipeline support",Revenue Operations,Pipeline reporting | Sales process improvement | CRM data quality | Stakeholder support,"Sales Operations Specialist at nimble solutions is a possible match for the Sales Ops / RevOps track. Aligns with sales operations, CRM reporting, and pipeline support experience Strong bridge between sales background and technical CRM skills","Aligns with sales operations, CRM reporting, and pipeline support experience | Strong bridge between sales background and technical CRM skills","Use Sales Ops / RevOps Resume. Focus on: Use the Sales Ops / RevOps resume | Highlight sales operations, CRM, reporting, and process improvement | Connect sales background to operational reporting and pipeline support",Pipeline reporting | Sales process improvement | CRM data quality | Stakeholder support,Location may need manual review | Review possible missing/watch skills: Revenue Operations,Review only if time allows,Unknown,0,,Strong Target,Review,Review if time,Not Applied,Not Applied,,Sales Ops / RevOps Resume,No,,,,,,2026-06-25,,,"operations, sales operations",Revenue Operations Analyst at Scale.jobs,2026-06-25
"associate, sales - target + aldi|chomps","Associate, Sales - Target + Aldi",Chomps,"Minneapolis, MN (Remote)",LinkedIn,55,55,Possible Match,Salesforce / CRM,Salesforce Resume,Low Resume Fit,55,"Lead with Salesforce Administrator certification | Highlight Flow Builder, reports, dashboards, and CRM process improvement | Mention hands-on Salesforce project work and business problem solving",Data Cloud,Salesforce security model | Flow Builder examples | Reports and dashboards | Business requirements gathering,"Associate, Sales - Target + Aldi at Chomps is a possible match for the Salesforce / CRM track. Aligns with Salesforce Administrator and CRM career goals Good opportunity to discuss Salesforce projects, dashboards, and automation Matches preferred location/work arrangement","Aligns with Salesforce Administrator and CRM career goals | Good opportunity to discuss Salesforce projects, dashboards, and automation | Matches preferred location/work arrangement","Use Salesforce Resume. Focus on: Lead with Salesforce Administrator certification | Highlight Flow Builder, reports, dashboards, and CRM process improvement | Mention hands-on Salesforce project work and business problem solving",Salesforce security model | Flow Builder examples | Reports and dashboards | Business requirements gathering,Review possible missing/watch skills: Data Cloud,Review only if time allows,Preferred,0,,Good Target,Review,Review if time,Not Applied,Not Applied,,,,,,,,,6/25/2026,,,"Remote, Minnesota location",Salesforce Data Cloud Specialist -Remote USA at Addison Group,2026-06-25
strategic accounts support associate|swannies,Strategic Accounts Support Associate,Swannies,Greater Minneapolis-St. Paul Area (Remote),LinkedIn,55,55,Possible Match,Salesforce / CRM,Salesforce Resume,Low Resume Fit,55,"Lead with Salesforce Administrator certification | Highlight Flow Builder, reports, dashboards, and CRM process improvement | Mention hands-on Salesforce project work and business problem solving",Data Cloud,Salesforce security model | Flow Builder examples | Reports and dashboards | Business requirements gathering,"Strategic Accounts Support Associate at Swannies is a possible match for the Salesforce / CRM track. Aligns with Salesforce Administrator and CRM career goals Good opportunity to discuss Salesforce projects, dashboards, and automation Matches preferred location/work arrangement","Aligns with Salesforce Administrator and CRM career goals | Good opportunity to discuss Salesforce projects, dashboards, and automation | Matches preferred location/work arrangement","Use Salesforce Resume. Focus on: Lead with Salesforce Administrator certification | Highlight Flow Builder, reports, dashboards, and CRM process improvement | Mention hands-on Salesforce project work and business problem solving",Salesforce security model | Flow Builder examples | Reports and dashboards | Business requirements gathering,Review possible missing/watch skills: Data Cloud,Review only if time allows,Preferred,0,,Good Target,Review,Review if time,Not Applied,Not Applied,,,,,,,,,6/25/2026,,,"Remote, Minnesota location",Salesforce Data Cloud Specialist -Remote USA at Addison Group,2026-06-25
acquisition sales specialist - ai solutions|thomson reuters,Acquisition Sales Specialist - AI Solutions,Thomson Reuters,"Eagan, MN (Remote)",LinkedIn,55,55,Possible Match,General / Other,General Resume,Low Resume Fit,55,"Use the General resume | Highlight transferable operations, sales, customer support, and problem solving experience",None flagged,Transferable skills | Customer and stakeholder communication | Problem solving,Acquisition Sales Specialist - AI Solutions at Thomson Reuters is a possible match for the General / Other track. Possible transferable-skills opportunity Matches preferred location/work arrangement,Possible transferable-skills opportunity | Matches preferred location/work arrangement,"Use General Resume. Focus on: Use the General resume | Highlight transferable operations, sales, customer support, and problem solving experience",Transferable skills | Customer and stakeholder communication | Problem solving,No major concerns flagged by current rules,Review only if time allows,Preferred,0,,Standard,Review,Review if time,Not Applied,Not Applied,,General Resume,No,,,,,,2026-06-25,,,"Remote, Minnesota location",Acquisition Sales Specialist - AI Solutions at Thomson Reuters,2026-06-25
licensed insurance sales representative (remote / home-based)|allstate,Licensed Insurance Sales Representative (Remote / Home-Based),Allstate,"Minneapolis, MN (Remote)",LinkedIn,55,55,Possible Match,General / Other,General Resume,Low Resume Fit,55,"Use the General resume | Highlight transferable operations, sales, customer support, and problem solving experience",None flagged,Transferable skills | Customer and stakeholder communication | Problem solving,Licensed Insurance Sales Representative (Remote / Home-Based) at Allstate is a possible match for the General / Other track. Possible transferable-skills opportunity Matches preferred location/work arrangement,Possible transferable-skills opportunity | Matches preferred location/work arrangement,"Use General Resume. Focus on: Use the General resume | Highlight transferable operations, sales, customer support, and problem solving experience",Transferable skills | Customer and stakeholder communication | Problem solving,No major concerns flagged by current rules,Review only if time allows,Preferred,0,,Standard,Review,Review if time,Not Applied,Not Applied,,General Resume,No,,,,,,2026-06-25,,,"Remote, Minnesota location",Acquisition Sales Specialist - AI Solutions at Thomson Reuters,2026-06-25
affordability analysti|medica,Affordability Analyst III,Medica,"Hopkins, MN",LinkedIn,55,55,Possible Match,Business Analyst,Business Analyst Resume,Low Resume Fit,55,"Use the Business Analyst resume | Highlight requirements gathering, stakeholder communication, and dashboard work | Connect analytics projects to business decisions",None flagged,Requirements gathering | Stakeholder communication | Data storytelling | Process improvement,"Affordability Analyst III at Medica is a possible match for the Business Analyst track. Aligns with business analysis, requirements gathering, and data storytelling goals Good opportunity to connect projects to business decision-making Matches preferred location/work arrangement Company is flagged as Target Company","Aligns with business analysis, requirements gathering, and data storytelling goals | Good opportunity to connect projects to business decision-making | Matches preferred location/work arrangement | Company is flagged as Target Company","Use Business Analyst Resume. Focus on: Use the Business Analyst resume | Highlight requirements gathering, stakeholder communication, and dashboard work | Connect analytics projects to business decisions",Requirements gathering | Stakeholder communication | Data storytelling | Process improvement,No major concerns flagged by current rules,Review only if time allows,Preferred,20,Target Company,Strong Target,Review,Review if time,Not Applied,Not Applied,,,,,,,,,6/25/2026,,,"analyst, Minnesota location, Target Company: Medica",Business Analyst at On-Demand Group: up to $56/hour,2026-06-24
remote inside sales representative|liberty mutual insurance,Remote Inside Sales Representative,Liberty Mutual Insurance,"Minneapolis, MN",LinkedIn,55,55,Possible Match,General / Other,General Resume,Low Resume Fit,55,"Use the General resume | Highlight transferable operations, sales, customer support, and problem solving experience",None flagged,Transferable skills | Customer and stakeholder communication | Problem solving,Remote Inside Sales Representative at Liberty Mutual Insurance is a possible match for the General / Other track. Possible transferable-skills opportunity Matches preferred location/work arrangement,Possible transferable-skills opportunity | Matches preferred location/work arrangement,"Use General Resume. Focus on: Use the General resume | Highlight transferable operations, sales, customer support, and problem solving experience",Transferable skills | Customer and stakeholder communication | Problem solving,No major concerns flagged by current rules,Review only if time allows,Preferred,0,,Standard,Review,Review if time,Not Applied,Not Applied,,,,,,,,,6/25/2026,,,"Remote, Minnesota location",Remote Inside Sales Representative at Liberty Mutual: up to $75K/year,2026-06-24
title business anaylst|homeservices of america,Title Business Anaylst,HomeServices of America,"Eden Prairie, MN (Remote)",LinkedIn,55,55,Possible Match,Data / Reporting,Business Analytics Resume,Low Resume Fit,55,"Use the Business Analytics resume | Highlight Excel, dashboards, reporting, Tableau, and analytics coursework | Show how reports helped decision making",None flagged,Excel analysis | Dashboard design | Data storytelling | SQL/SOQL basics,"Title Business Anaylst at HomeServices of America is a possible match for the Data / Reporting track. Aligns with reporting, dashboards, Excel, Tableau, and analytics development Good opportunity to discuss data storytelling and decision support Matches preferred location/work arrangement","Aligns with reporting, dashboards, Excel, Tableau, and analytics development | Good opportunity to discuss data storytelling and decision support | Matches preferred location/work arrangement","Use Business Analytics Resume. Focus on: Use the Business Analytics resume | Highlight Excel, dashboards, reporting, Tableau, and analytics coursework | Show how reports helped decision making",Excel analysis | Dashboard design | Data storytelling | SQL/SOQL basics,No major concerns flagged by current rules,Review only if time allows,Preferred,0,,Good Target,Review,Review if time,Not Applied,Not Applied,,,,,,,,,6/25/2026,,,"Remote, Minnesota location",Analytics Specialist at Cargill: up to $183K/year,2026-06-24
